City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Anadyr,RU,64.75,177.4833,14.0,85,75,17.9,snow
303,San Pedro,PH,14.35,121.0167,84.2,74,20,2.3,few clouds
304,Tighina,MD,46.8306,29.4711,46.4,71,40,20.71,light rain
305,Karratha,AU,-20.7377,116.8463,86.79,52,6,9.15,clear sky
306,Micheweni,TZ,-4.9667,39.8333,83.43,72,24,10.11,few clouds
307,Los Rastrojos,VE,10.0259,-69.2417,85.77,46,98,7.29,overcast clouds
308,Phonhong,LA,18.5007,102.4166,79.45,64,90,2.33,light rain
309,Dawson Creek,CA,55.7666,-120.2362,35.6,75,20,16.11,few clouds
310,Hinton,CA,53.4001,-117.5857,41.0,65,81,8.05,broken clouds
311,East London,ZA,-33.0153,27.9116,66.2,68,20,10.36,few clouds
312,Galesong,ID,-5.3166,119.3661,75.2,100,20,1.14,few clouds
313,Caluquembe,AO,-13.7833,14.6833,63.81,90,100,4.23,moderate rain
314,Mitsamiouli,KM,-11.3847,43.2844,83.97,68,37,4.76,scattered clouds
315,Buford,US,34.1207,-84.0043,66.99,94,75,9.22,moderate rain
316,Quirinopolis,BR,-18.4483,-50.4517,92.5,31,1,2.3,clear sky
317,Beyneu,KZ,45.3167,55.2,42.24,57,71,10.51,broken clouds
318,Keuruu,FI,62.2667,24.7,41.0,70,40,9.22,scattered clouds
319,Tecoanapa,MX,16.5167,-98.75,83.71,38,0,4.07,clear sky
320,Yokadouma,CM,3.5167,15.05,85.23,46,88,2.48,overcast clouds
321,Ngunguru,NZ,-35.6167,174.5,66.0,95,100,4.0,moderate rain
322,Jumla,NP,29.2747,82.1838,48.79,50,94,3.8,overcast clouds
323,Ostrovnoy,RU,68.0531,39.5131,35.28,98,100,17.05,overcast clouds
324,Ancud,CL,-41.8697,-73.8203,62.6,72,0,14.97,clear sky
325,Kaeo,NZ,-35.1,173.7833,66.0,95,100,4.0,moderate rain
326,Nalut,LY,30.3333,10.85,74.19,11,5,9.64,clear sky
327,Tanta,EG,30.7885,31.0019,58.84,47,3,13.15,clear sky
328,Lamu,KE,-2.2717,40.902,82.4,74,1,9.22,clear sky
329,Kadoma,JP,34.7333,135.5833,60.01,98,100,5.82,overcast clouds
330,Ugoofaaru,MV,5.6667,73.0,84.6,67,99,11.52,overcast clouds
331,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,69.01,70,17,1.99,few clouds
332,Gilgit,PK,35.9221,74.3087,54.28,89,97,1.77,moderate rain
333,Saint-Pierre,RE,-21.3393,55.4781,78.8,78,40,6.91,scattered clouds
334,Jining,CN,35.405,116.5814,56.01,34,91,7.52,overcast clouds
335,Pasighat,IN,28.0667,95.3333,74.89,22,0,5.61,clear sky
336,Sorland,NO,67.667,12.6934,41.0,65,0,17.27,clear sky
337,San Quintin,MX,30.4833,-115.95,69.04,23,0,4.52,clear sky
338,Maldonado,UY,-34.6667,-54.9167,77.0,65,75,14.97,broken clouds
339,Lazaro Cardenas,MX,17.9583,-102.2,81.48,44,26,3.94,scattered clouds
340,Mackenzie,CA,55.2999,-123.1698,33.8,64,1,3.44,clear sky
341,Takoradi,GH,4.8845,-1.7554,83.91,70,7,11.81,clear sky
342,Sioux Lookout,CA,50.1001,-91.917,24.8,58,75,5.75,light snow
343,Jalu,LY,29.0331,21.5482,69.28,22,2,10.83,clear sky
344,Evensk,RU,61.95,159.2333,-10.95,86,49,3.76,scattered clouds
345,Blagoyevo,RU,63.3667,47.9167,32.83,83,100,10.13,overcast clouds
